username,timestamp_text,comment_text,cleaned_tokens,cleaned_text
@satyrsxlm,1 month ago,"You use a ""PITATA Inversion Board"" to fool people that you're reading their minds. You have someone off camera wirelessly write on the ""notepad"" when your hands are free. You don't read peoples minds.",use|pitata|inversion|board|fool|people|youre|reading|mind|someone|camera|wirelessly|write|notepad|hand|free|dont|read|people|mind,use pitata inversion board fool people youre reading mind someone camera wirelessly write notepad hand free dont read people mind
@ValerieZushin,1 month ago,I guessed Barack O Bama too! Creepy 😮,guessed|barack|bama|creepy,guessed barack bama creepy
@georgecavanaugh8757,1 month ago,"If you believe this, you better stay in the house.  You’re a glaring scammer Target.",believe|better|stay|house|youre|glaring|scammer|target,believe better stay house youre glaring scammer target
@mindblowingfacts-hs2qo,1 month ago,Maa ja teeta dhoondh jalebi kuchir,maa|teeta|dhoondh|jalebi|kuchir,maa teeta dhoondh jalebi kuchir
@ShinyInfoHub1,1 month ago,I want to read minds. Jesus Christ loves you very much ️️,want|read|mind|jesus|christ|love|much,want read mind jesus christ love much
@michaeltomiak,1 month ago,If real should really be richest man in world ... just predict which card a dealer has seen ..  or which football team will win prem league etc etc Or ... of he had any dignity ... predict what market will do and help the less fortunate and/or rid us of trump,real|really|richest|man|world|predict|card|dealer|seen|football|team|win|prem|league|etc|etc|dignity|predict|market|help|less|fortunate|andor|rid|trump,real really richest man world predict card dealer seen football team win prem league etc etc dignity predict market help less fortunate andor rid trump
@DNalexBuru,1 month ago,I guessed the last name too… crazy,guessed|last|name|crazy,guessed last name crazy
@StefanoPolo,1 month ago,"the amount of time he spent writing Trevor Noah's name does not match.  At most, he wrote 4-5 characters.",amount|time|spent|writing|trevor|noah|name|match|wrote|character,amount time spent writing trevor noah name match wrote character
@bluemoon-z5w,1 month ago,Derren Brown is the master of this type of entertainment.,derren|brown|master|type|entertainment,derren brown master type entertainment
@SamiJICS,1 month ago,Why am I thinking him that all was a setup. 😮,thinking|setup,thinking setup
