username,timestamp_text,comment_text,cleaned_tokens,cleaned_text
@Sabrina.682,9 days ago,"Even if this is all staged, why do so many people care? He's not hurting anyone. It's just entertainment.",even|staged|many|people|care|he|hurting|anyone|entertainment,even staged many people care he hurting anyone entertainment
@ishansingh7531,9 days ago,What are the odds if that’s a set up!,odds|thats|set,odds thats set
@usfzia,10 days ago,scripted lol,scripted|lol,scripted lol
@jaylont6056,10 days ago,Mind BLOWN,mind|blown,mind blown
@theduder2617,11 days ago,"Plants are so useful. If you like magic and/or mystery, never peek behind the curtain. It's not as fantastical after you look. On the other hand, such a peek opens up the ability to detect deception in other aspects of daily life. I am glad I took my peak long ago.",plant|useful|like|magic|andor|mystery|never|peek|behind|curtain|fantastical|look|hand|peek|open|ability|detect|deception|aspect|daily|life|glad|took|peak|long|ago,plant useful like magic andor mystery never peek behind curtain fantastical look hand peek open ability detect deception aspect daily life glad took peak long ago
@minion3514,11 days ago,That was definitely a script,definitely|script,definitely script
@snooptech,11 days ago,its a set up,set,set
@danloehr4488,11 days ago,So fake lol,fake|lol,fake lol
@GreisonJoseOlivaDePaz,11 days ago,Who else guessed BO before he did also 😮🙋🏽‍♂️,else|guessed|also,else guessed also
@troymykink6322,11 days ago,Omgosh! I can't believe this con man is on Ted talk. Do you guys not even vet your guests anymore or what? Wow! I guess I ought to be a little bit more careful with trusting TED Talk now. Cuz this guy is a straight-up con man and liar to the very core. I I am totally flabbergasted and I cannot believe this guy has made it onto TED Talk! Absolutely shameful,omgosh|cant|believe|con|man|ted|talk|guy|even|vet|guest|anymore|wow|guess|ought|little|bit|careful|trusting|ted|talk|cuz|guy|straightup|con|man|liar|core|totally|flabbergasted|believe|guy|made|onto|ted|talk|absolutely|shameful,omgosh cant believe con man ted talk guy even vet guest anymore wow guess ought little bit careful trusting ted talk cuz guy straightup con man liar core totally flabbergasted believe guy made onto ted talk absolutely shameful
@MicahZimmerman-x7b,12 days ago,Chills,chill,chill
@newh0001,12 days ago,"...I'm thinking of P.T. Barnum, you know...the guy who said, ""there's a sucker born every minute"".",thinking|barnum|knowthe|guy|said|there|sucker|born|every|minute,thinking barnum knowthe guy said there sucker born every minute
@francesco777777,13 days ago,Clearly he can read minds.,clearly|read|mind,clearly read mind
@sarahbee13,13 days ago,He’s lying. He actually reads minds. And that’s the REAL scam. And no I’m not lying,he|lying|actually|read|mind|thats|real|scam|lying,he lying actually read mind thats real scam lying
@patakoripelomundo5362,13 days ago,Brett Light-year,brett|lightyear,brett lightyear
@lookupAndy,13 days ago,10:18 I'm pretty sure he looked up to see the 10 minute timer warning him to wrap up (and then he was confused because he was told he'd have more than 10 minutes!)😅,pretty|sure|looked|see|minute|timer|warning|wrap|confused|told|hed|minute,pretty sure looked see minute timer warning wrap confused told hed minute
@DonCarnage42,13 days ago,"He's certainly ventured somewhat astray from the classic mentalist show, into charlatan con man territory recently. Guess the money were too good. Shame for TED to promote his scam though.",he|certainly|ventured|somewhat|astray|classic|mentalist|show|charlatan|con|man|territory|recently|guess|money|good|shame|ted|promote|scam|though,he certainly ventured somewhat astray classic mentalist show charlatan con man territory recently guess money good shame ted promote scam though
@ontheroadagain987,13 days ago,"The recent unilateral military extraction of Nicolás Maduro to New York, coupled with the open disregard for the territorial integrity of nations like Greenland and Canada, marks a dangerous escalation in American foreign policy that the world can no longer ignore. These actions demonstrate a blatant rejection of international law and a return to imperialist coercion, threatening the sovereignty of every independent state. To stand idly by is to accept a future where global boundaries are drawn by force rather than consensus. It is time for the international community to unite in a targeted boycott of US goods and services, sending a clear, economic message that this unchecked hegemonisation will not be tolerated and that the path to a just global order lies in multipolarity and mutual respect, not domination.",recent|unilateral|military|extraction|nicols|maduro|new|york|coupled|open|disregard|territorial|integrity|nation|like|greenland|canada|mark|dangerous|escalation|american|foreign|policy|world|longer|ignore|action|demonstrate|blatant|rejection|international|law|return|imperialist|coercion|threatening|sovereignty|every|independent|state|stand|idly|accept|future|global|boundary|drawn|force|rather|consensus|time|international|community|unite|targeted|boycott|good|service|sending|clear|economic|message|unchecked|hegemonisation|tolerated|path|global|order|lie|multipolarity|mutual|respect|domination,recent unilateral military extraction nicols maduro new york coupled open disregard territorial integrity nation like greenland canada mark dangerous escalation american foreign policy world longer ignore action demonstrate blatant rejection international law return imperialist coercion threatening sovereignty every independent state stand idly accept future global boundary drawn force rather consensus time international community unite targeted boycott good service sending clear economic message unchecked hegemonisation tolerated path global order lie multipolarity mutual respect domination
@kajachris11,13 days ago,Wait.. He didn't explain anything.. That wasn't a TED talk .. That was a performance.,wait|didnt|explain|anything|wasnt|ted|talk|performance,wait didnt explain anything wasnt ted talk performance
@GandillSwaggins,2 weeks ago,"Ashley taught me L.R.R. 🎉. Naw neg comments are a not prepared to absorb or B are wired differently. Not saying that is bad, people have strengths all over.  Its entertaining",ashley|taught|lrr|naw|neg|comment|prepared|absorb|wired|differently|saying|bad|people|strength|entertaining,ashley taught lrr naw neg comment prepared absorb wired differently saying bad people strength entertaining
@lutfunnesasuzana661,2 weeks ago,Wtf was that,wtf,wtf
@serekapsik,2 weeks ago,I thought Barak Obama too! How’s this possible?!?,thought|barak|obama|hows|possible,thought barak obama hows possible
@JatinBisht-l1l,2 weeks ago,That last part was hilarious.,last|part|hilarious,last part hilarious
@OmSh-k3y,2 weeks ago,"If the universe had a beginning, it must have a cause beyond itself. Science explains how things work, but not why existence exists at all. If there is a Creator, then life is not random. A wise Creator would not create such a precise universe and leave humanity without purpose, guidance, or meaning. Throughout history, humans have disagreed deeply about morality and truth — which makes revelation necessary. If God created us, it is reasonable that He sent messengers to explain why we exist and how we should live. To identify the true path, we must ask: What is God’s nature? Is He one, perfect, eternal, and unlike creation? Islam affirms this clearly: One God, without partners or incarnation, with the most perfect names and attributes. Christianity introduces complex doctrines like the Trinity and incarnation, which raise serious philosophical questions about divine unity and perfection. The question is not cultural or emotional — it is logical: Which belief about God best preserves His oneness, perfection, and purpose?",universe|beginning|must|cause|beyond|science|explains|thing|work|existence|exists|creator|life|random|wise|creator|would|create|precise|universe|leave|humanity|without|purpose|guidance|meaning|throughout|history|human|disagreed|deeply|morality|truth|make|revelation|necessary|god|created|reasonable|sent|messenger|explain|exist|live|identify|true|path|must|ask|god|nature|one|perfect|eternal|unlike|creation|islam|affirms|clearly|one|god|without|partner|incarnation|perfect|name|attribute|christianity|introduces|complex|doctrine|like|trinity|incarnation|raise|serious|philosophical|question|divine|unity|perfection|question|cultural|emotional|logical|belief|god|best|preserve|oneness|perfection|purpose,universe beginning must cause beyond science explains thing work existence exists creator life random wise creator would create precise universe leave humanity without purpose guidance meaning throughout history human disagreed deeply morality truth make revelation necessary god created reasonable sent messenger explain exist live identify true path must ask god nature one perfect eternal unlike creation islam affirms clearly one god without partner incarnation perfect name attribute christianity introduces complex doctrine like trinity incarnation raise serious philosophical question divine unity perfection question cultural emotional logical belief god best preserve oneness perfection purpose
@FROMZERO99,2 weeks ago,"​""Thank you for sharing. You’ve given me the strength I didn’t know I needed.""",thank|sharing|youve|given|strength|didnt|know|needed,thank sharing youve given strength didnt know needed
@masmo4779,2 weeks ago,Hard to believe,hard|believe,hard believe
@ibrahimfahmy1968,2 weeks ago,But.. How,,
@HIRO-kd5pm,2 weeks ago,I still struggling to talk with anyone in perticular,still|struggling|talk|anyone|perticular,still struggling talk anyone perticular
@chelseah9254,2 weeks ago,I mean… if this was a question on family feud I feel like top 10 would obv have President Obama and Trevor Noah anyways ❤😂,mean|question|family|feud|feel|like|top|would|obv|president|obama|trevor|noah|anyways,mean question family feud feel like top would obv president obama trevor noah anyways
@starwisdom6646,2 weeks ago,nice script.,nice|script,nice script
@juwaybir,2 weeks ago,I wish I could take my 10 minutes back! Total nonsense.,wish|could|take|minute|back|total|nonsense,wish could take minute back total nonsense
@awara_mystry,2 weeks ago,"I was expecting to learn read minds but I learnt only to remember people's name, which method I already know I just lack social skills to apply it 😅",expecting|learn|read|mind|learnt|remember|people|name|method|already|know|lack|social|skill|apply,expecting learn read mind learnt remember people name method already know lack social skill apply
@Ivy-listens,2 weeks ago,My flabbers are totally gasted cuz I was thinking of Barack Obama 😮 man that's so cool!,flabbers|totally|gasted|cuz|thinking|barack|obama|man|thats|cool,flabbers totally gasted cuz thinking barack obama man thats cool
@rongitmukherjee,2 weeks ago,Only taught how to remember names,taught|remember|name,taught remember name
@wongholaam2098,2 weeks ago,Telepathy going viral now?,telepathy|going|viral,telepathy going viral
@AnantSinghrajput-l9y4r,2 weeks ago,In India we also have one like you -- bageshwar baba😂😂,india|also|one|like|bageshwar|baba,india also one like bageshwar baba
@maksman.maurice,2 weeks ago,Seems2me@staged!........impressive though.,seemsmestagedimpressive|though,seemsmestagedimpressive though
@pittwaterplayground,2 weeks ago,"I was very impressed with this lecture, but after Googling him I found many reports of him being nothing more than a good magician and his mentalist skills are a fraud. Still, some good skills learnt.",impressed|lecture|googling|found|many|report|nothing|good|magician|mentalist|skill|fraud|still|good|skill|learnt,impressed lecture googling found many report nothing good magician mentalist skill fraud still good skill learnt
@prtcgv5105,2 weeks ago,I can read minds... I married a woman.,read|mind|married|woman,read mind married woman
@lafangeyparindey3319,2 weeks ago,not going to lie but I guessed that the old one is going to name some american president and on my back mind I guessed it was barack obama,going|lie|guessed|old|one|going|name|american|president|back|mind|guessed|barack|obama,going lie guessed old one going name american president back mind guessed barack obama
@anupamchoudhary,2 weeks ago,Me too thinking about Barack obama,thinking|barack|obama,thinking barack obama
@angietheodorakis9314,2 weeks ago,I've always said this to my adult students that I teach...When you meet someone...'repeat' their names-visualize someone they remind you of-form a correlation'...works every time!!,ive|always|said|adult|student|teachwhen|meet|someonerepeat|namesvisualize|someone|remind|ofform|correlationworks|every|time,ive always said adult student teachwhen meet someonerepeat namesvisualize someone remind ofform correlationworks every time
@winglift8156,2 weeks ago,"Sorry, I don't believe it.",sorry|dont|believe,sorry dont believe
@brianjoseph7132,2 weeks ago,This guy is full of bs...how are we having a 'people reader' full of bs gimmicks giving a ted talk...what has this organization come to,guy|full|bshow|people|reader|full|gimmick|giving|ted|talkwhat|organization|come,guy full bshow people reader full gimmick giving ted talkwhat organization come
@rickwarda1838,2 weeks ago,Who im the world would want a meal with Barak Obama??? Why?,world|would|want|meal|barak|obama,world would want meal barak obama
@thegoudaguymikey,2 weeks ago,"2 plants, 2 civilians. One tech board, one genuine marker board.",plant|civilian|one|tech|board|one|genuine|marker|board,plant civilian one tech board one genuine marker board
@thegoudaguymikey,2 weeks ago,"Never mind the fact that he ""wrote"" 4 letters on one line... Then the card has Trevor Noah written on it  in two lines",never|mind|fact|wrote|letter|one|line|card|trevor|noah|written|two|line,never mind fact wrote letter one line card trevor noah written two line
@oscarskidoo9884,2 weeks ago,Bra wtf does guessing Alexandra the great do with forgetting people names😑😑wtf happened after the magic 🤣🤣,bra|wtf|guessing|alexandra|great|forgetting|people|nameswtf|happened|magic,bra wtf guessing alexandra great forgetting people nameswtf happened magic
@BibleVerses4all,2 weeks ago,"I honestly feel sorry for this guy''s wife, kids and even neighbors.",honestly|feel|sorry|guy|wife|kid|even|neighbor,honestly feel sorry guy wife kid even neighbor
@HabitsToWealthHQ,3 weeks ago,Is it possible to read the minds of other 😅,possible|read|mind,possible read mind
@wolfsisters3043,3 weeks ago,They always pick famous people,always|pick|famous|people,always pick famous people
@222ukie,3 weeks ago,this was more scripted than wrestling,scripted|wrestling,scripted wrestling
@AlluyahTheGvngsta,3 weeks ago,What a script nice performance 👏,script|nice|performance,script nice performance
@stutisingh-g7r,3 weeks ago,this was more like a show.. there was no technique taught,like|show|technique|taught,like show technique taught
@waero1960,3 weeks ago,Should be the top criminal investigator in the world,top|criminal|investigator|world,top criminal investigator world
@SophieAnderson-z1b,3 weeks ago,"DUDEEEE, I chose Obama too",dudeeee|chose|obama,dudeeee chose obama
@babu357,3 weeks ago,"I feel this would be more appropriate for ""Ellen', than TED. 🤣 I would have liked a TED talk where he explained how he got his answers but since he does this for entertainment purposes I guess that wouldn't make sense to divulge his secrets.",feel|would|appropriate|ellen|ted|would|liked|ted|talk|explained|got|answer|since|entertainment|purpose|guess|wouldnt|make|sense|divulge|secret,feel would appropriate ellen ted would liked ted talk explained got answer since entertainment purpose guess wouldnt make sense divulge secret
@tharindu6405,3 weeks ago,Anyone imagined Brad Pitt? I read your mind.,anyone|imagined|brad|pitt|read|mind,anyone imagined brad pitt read mind
@BobbyDotNet,3 weeks ago,Can't help feeling like there was some interaction with Brett that we weren't shown in this video.,cant|help|feeling|like|interaction|brett|werent|shown|video,cant help feeling like interaction brett werent shown video
@tlgonline,3 weeks ago,It's all staged. I don't believe it.,staged|dont|believe,staged dont believe
@the3xtr3mist,3 weeks ago,I don't believe this not in a million lifetimes,dont|believe|million|lifetime,dont believe million lifetime
@debuisthat,3 weeks ago,"How do you know all these tricks,,, I really wanna know how can a human mind do this ,,,,",know|trick|really|wan|know|human|mind,know trick really wan know human mind
@ahmedbadey,3 weeks ago,Omg.. I predicted he would say barak obama because i could see it in his face min 13:37,omg|predicted|would|say|barak|obama|could|see|face|min,omg predicted would say barak obama could see face min
@BaqayeeJourney,3 weeks ago,gee,gee,gee
@draco_0073,3 weeks ago,Akkinator real life,akkinator|real|life,akkinator real life
@MariyamNuha-j8o,3 weeks ago,This part of the show is told me to learn how to remember a stranger when you met at first time The video was a part from thumbnail but it's okay becoz i didn't waste my time learn incredible life lesson I never forgot about it Like comment If your thought am right,part|show|told|learn|remember|stranger|met|first|time|video|part|thumbnail|okay|becoz|didnt|waste|time|learn|incredible|life|lesson|never|forgot|like|comment|thought|right,part show told learn remember stranger met first time video part thumbnail okay becoz didnt waste time learn incredible life lesson never forgot like comment thought right
@blairfggk120,3 weeks ago,Oh mindcraft not Minecraft,mindcraft|minecraft,mindcraft minecraft
@minulacoolsoul7221,3 weeks ago,"😂😂😂 unsubscribed Ted talks, Misleading content. Good bye",unsubscribed|ted|talk|misleading|content|good|bye,unsubscribed ted talk misleading content good bye
@Alex-zy5td,3 weeks ago,Imagine not recognizing a staged show in 2025,imagine|recognizing|staged|show,imagine recognizing staged show
@raaavxn,3 weeks ago,The most difficult part of designing a Perpetual Motion Machine is deciding where to hide the batteries.,difficult|part|designing|perpetual|motion|machine|deciding|hide|battery,difficult part designing perpetual motion machine deciding hide battery
@wikky16,3 weeks ago,The body guard near to witters help tell on microphone to stage man right that is my mind reading 🎉,body|guard|near|witters|help|tell|microphone|stage|man|right|mind|reading,body guard near witters help tell microphone stage man right mind reading
@AuraBloom-8,4 weeks ago,"""Give me another clap""",give|another|clap,give another clap
@logicalmallu,4 weeks ago,"We indians got more than of mentalism... We have got astrology and many traditional wisdom, through which we can find out our previous birth",indian|got|mentalism|got|astrology|many|traditional|wisdom|find|previous|birth,indian got mentalism got astrology many traditional wisdom find previous birth
@roberthigbee3260,4 weeks ago,Nobody said Jesus.,nobody|said|jesus,nobody said jesus
@wealthascendants-l7z,4 weeks ago,Super,super,super
@icnweb3news,4 weeks ago,Brilliant speech. Thank you for these valuable insights 🫵🏻,brilliant|speech|thank|valuable|insight,brilliant speech thank valuable insight
@tompapps7810,4 weeks ago,How to read minds with magic would be more impressive,read|mind|magic|would|impressive,read mind magic would impressive
@getleonamini3489,4 weeks ago,West Reading mind Here;  ankh me sour ka bal,west|reading|mind|ankh|sour|bal,west reading mind ankh sour bal
@sterlthepearl1000,4 weeks ago,"Magic is the total defiance, of all natural laws and science. With magic, the impossible becomes possible. 🦉",magic|total|defiance|natural|law|science|magic|impossible|becomes|possible,magic total defiance natural law science magic impossible becomes possible
@kennethwong7243,1 month ago,OZ has been exposed as a simple good magician.  Fun entertainment but uses a thumb pen to write as people talk.  Many Youtube videos showing his tricks.  He is not a mentalist.  but a magician.,exposed|simple|good|magician|fun|entertainment|us|thumb|pen|write|people|talk|many|youtube|video|showing|trick|mentalist|magician,exposed simple good magician fun entertainment us thumb pen write people talk many youtube video showing trick mentalist magician
@AnnaOliviayy,1 month ago,But I'd rather learn how to read minds WITH magic :(,rather|learn|read|mind|magic,rather learn read mind magic
@proshepherd,1 month ago,I will never believe it's not staged,never|believe|staged,never believe staged
@jfuriathemostwanted5414,1 month ago,Total clown,total|clown,total clown
@MannyAAvila,1 month ago,"He is pre-screening the people he will ask to participate, without their knowledge. And not even himself doing the prescreening, but his assistants. Before the show the show the assistant does not ask the participant the actual questions. Instead, they gather related evidence. Then they can communicate this information to him, sometimes in real time over an earpiece, which gives him a huge leg up in reaching the right answer. Spiritualists /Mediums do the same thing.  He is still very talented.",prescreening|people|ask|participate|without|knowledge|even|prescreening|assistant|show|show|assistant|ask|participant|actual|question|instead|gather|related|evidence|communicate|information|sometimes|real|time|earpiece|give|huge|leg|reaching|right|answer|spiritualist|medium|thing|still|talented,prescreening people ask participate without knowledge even prescreening assistant show show assistant ask participant actual question instead gather related evidence communicate information sometimes real time earpiece give huge leg reaching right answer spiritualist medium thing still talented
@stephy369,1 month ago,I don't like when people use my name if they don't know me... Saying it multiple times when I first meet you is annoying and feels fake.,dont|like|people|use|name|dont|know|saying|multiple|time|first|meet|annoying|feel|fake,dont like people use name dont know saying multiple time first meet annoying feel fake
@mtszone2466,1 month ago,"So HOW do you do it, like, the last guy, brett, got it right, but how....",like|last|guy|brett|got|right,like last guy brett got right
@neerajsr7,1 month ago,13:42 He opened his eyes before being asked to! Staged or not?,opened|eye|asked|staged,opened eye asked staged
@brioac,1 month ago,this was clickbate for sure!!!!,clickbate|sure,clickbate sure
@marginalized945,1 month ago,Alexander the Great. YEAH RIGHT!!😂😂😂😂,alexander|great|yeah|right,alexander great yeah right
@marginalized945,1 month ago,This dude is an actor putting on a show. Nothing more. Everything is prearranged and it's packaged as information but in reality it's just entertainment.,dude|actor|putting|show|nothing|everything|prearranged|packaged|information|reality|entertainment,dude actor putting show nothing everything prearranged packaged information reality entertainment
@karmkathiyawadi142,1 month ago,what if you just dont know the person,dont|know|person,dont know person
@johnchapman1231,1 month ago,fixed,fixed,fixed
@GWillifredB,1 month ago,"""Baldy, your head is bald. It is hairless. It is shiny, it is reflective like a mirror. ""M"" your name is Mark.""",baldy|head|bald|hairless|shiny|reflective|like|mirror|name|mark,baldy head bald hairless shiny reflective like mirror name mark
@Sicarius089,1 month ago,"I kid you not I even got the name right at the end before it was even said. An odd experience years a go, I was speaking to a regular customer, he asked my name I told him, (I was thinking his name's Paul) I then asked him his name and he said ""Paul"". There seriously needs to be a science behind such things.",kid|even|got|name|right|end|even|said|odd|experience|year|speaking|regular|customer|asked|name|told|thinking|name|paul|asked|name|said|paul|seriously|need|science|behind|thing,kid even got name right end even said odd experience year speaking regular customer asked name told thinking name paul asked name said paul seriously need science behind thing
@mikewood9173,1 month ago,he is a fraud. not in the old sense. he has camera tech earpiece tech and uses planted people in the audience.,fraud|old|sense|camera|tech|earpiece|tech|us|planted|people|audience,fraud old sense camera tech earpiece tech us planted people audience
@AXON619_,1 month ago,Hey people from 2027 it's not AI just a pure scam,hey|people|pure|scam,hey people pure scam
@Ma-Sia,1 month ago,"Oz Pearlman is the biggest BS artist, snake-tongue, con-man of our time!!!  His ties to Israeli intelligence are scary.  However he is doing this should be viewed as a risk/threat to national security.  I have a masters in psychology, the things he says about people's hands and eyes are 100% BS LIES!!!  Whatever techniques he is using to accomplish this level of ""mentalism"" have to be illegal if they are not audience plants.  Understanding and studying the techniques of ""mentalism"" he must be using invasive Israeli intelligence gathering like Pegasus combined with A.I.  A government investigation into this man would be warranted.",pearlman|biggest|artist|snaketongue|conman|time|tie|israeli|intelligence|scary|however|viewed|riskthreat|national|security|master|psychology|thing|say|people|hand|eye|lie|whatever|technique|using|accomplish|level|mentalism|illegal|audience|plant|understanding|studying|technique|mentalism|must|using|invasive|israeli|intelligence|gathering|like|pegasus|combined|government|investigation|man|would|warranted,pearlman biggest artist snaketongue conman time tie israeli intelligence scary however viewed riskthreat national security master psychology thing say people hand eye lie whatever technique using accomplish level mentalism illegal audience plant understanding studying technique mentalism must using invasive israeli intelligence gathering like pegasus combined government investigation man would warranted
@anthonyshaw7445,1 month ago,Omfg I actually thought Barack Obama at that exact moment!!!!!!!!!!!,omfg|actually|thought|barack|obama|exact|moment,omfg actually thought barack obama exact moment
@simontrowell,1 month ago,How on earth can he guess Alexander the Great from looking at someone for 30 seconds. Absolute rubbish.,earth|guess|alexander|great|looking|someone|second|absolute|rubbish,earth guess alexander great looking someone second absolute rubbish
@simplyone200,1 month ago,Dad has this super power he know about my dating life and personal life Creepy Wondering how Tried every way possible to keep personal things to my self Counselor rules out paranoia,dad|super|power|know|dating|life|personal|life|creepy|wondering|tried|every|way|possible|keep|personal|thing|self|counselor|rule|paranoia,dad super power know dating life personal life creepy wondering tried every way possible keep personal thing self counselor rule paranoia
@jayc6159,1 month ago,I was so close I knew it was a president but Bill Clinton came to my mind : (,close|knew|president|bill|clinton|came|mind,close knew president bill clinton came mind
@kidmerge1747,1 month ago,Bro had a real reason in order for people not to get bored out he brought entertainment a guessing game but I feel he payed the people 😂😂,bro|real|reason|order|people|get|bored|brought|entertainment|guessing|game|feel|payed|people,bro real reason order people get bored brought entertainment guessing game feel payed people
@bytextutor,1 month ago,It was informative + entertaining. The Way Oz Pearlman presented it like it was confident and catchy type !,informative|entertaining|way|pearlman|presented|like|confident|catchy|type,informative entertaining way pearlman presented like confident catchy type
@funzone_sbr,1 month ago,i dont buy it..sorry,dont|buy|itsorry,dont buy itsorry
@bromptonjourney,1 month ago,That entire section was told to say Barack Obama.,entire|section|told|say|barack|obama,entire section told say barack obama
@awesomegamer9284,1 month ago,"Btw this guy is a liar . He legit talks to people before hand in his other shows, and uses real magic tricks which other people expose, all the read minds and body language is bs😊",btw|guy|liar|legit|talk|people|hand|show|us|real|magic|trick|people|expose|read|mind|body|language,btw guy liar legit talk people hand show us real magic trick people expose read mind body language
@donttypeme,1 month ago,"Nope, it is totally, definitely MAGIC.",nope|totally|definitely|magic,nope totally definitely magic
@Mike-u1p7h,1 month ago,I read faces? 🔮✨😁,read|face,read face
@Mike-u1p7h,1 month ago,I'm a psychic 🔮✨ 😁,psychic,psychic
@lalitabhatt1173,1 month ago,Amazing 😍,amazing,amazing
@samichhyathapa7262,1 month ago,My dinner person was Trevor Noah hahaha,dinner|person|trevor|noah|hahaha,dinner person trevor noah hahaha
@arrisagoh4828,1 month ago,"how to think one person ? like think abt it, there 8 billion people alive on earth  and what if u dk the person they r thiking of?",think|one|person|like|think|abt|billion|people|alive|earth|person|thiking,think one person like think abt billion people alive earth person thiking
@blackpearl5283,1 month ago,Video is about... How ppl will watch anything posted on TedEx!!,video|ppl|watch|anything|posted|tedex,video ppl watch anything posted tedex
@pratik9882,1 month ago,"Did you experience the same, thing. My last guess or answer was right before he revealed.😮",experience|thing|last|guess|answer|right|revealed,experience thing last guess answer right revealed
@smiling.buddha,1 month ago,Total waste of time.,total|waste|time,total waste time
@fazquasha2632,1 month ago,Some sort of trick like a magician here. But I liked it.,sort|trick|like|magician|liked,sort trick like magician liked
@RamPRT,1 month ago,100% complete bullshit. He’ll go down just like Uri Geller.,complete|bullshit|hell|like|uri|geller,complete bullshit hell like uri geller
@brwaters4,1 month ago,This guy is amazing. He performed for my company and it blew everyone away. It literally makes no sense how he does it!,guy|amazing|performed|company|blew|everyone|away|literally|make|sense,guy amazing performed company blew everyone away literally make sense
@ldslao,1 month ago,Ok so i know now how tp remember names. But still dont know how to reaf minds,know|remember|name|still|dont|know|reaf|mind,know remember name still dont know reaf mind
@keithymg,1 month ago,"Everyone in the comments can be a mentalist it seems, ""he just uses simple tactics "" or ""very basic skills"" yet I have never heard of any of them, bunch of weirdos. I believe he sold his soul for this power, I'm not weird ( that's a joke, not the soul selling bute not being weird, I'm very weird.)",everyone|comment|mentalist|seems|us|simple|tactic|basic|skill|yet|never|heard|bunch|weirdo|believe|sold|soul|power|weird|thats|joke|soul|selling|bute|weird|weird,everyone comment mentalist seems us simple tactic basic skill yet never heard bunch weirdo believe sold soul power weird thats joke soul selling bute weird weird
@dcollico,1 month ago,"Thanks Oz, you made me remember the ¨Marge vs. the Monorail¨ episode. Don't know why.",thanks|made|remember|marge|monorail|episode|dont|know,thanks made remember marge monorail episode dont know
@daoul40,1 month ago,"The best thing I had learned was how to easily remember other's names. Thanks for sharing.,",best|thing|learned|easily|remember|others|name|thanks|sharing,best thing learned easily remember others name thanks sharing
@sudupa07,1 month ago,"I can't have my dinner, i have to figure out the trick or I am gonno lose my mind",cant|dinner|figure|trick|gonno|lose|mind,cant dinner figure trick gonno lose mind
@mnhertz26,1 month ago,"This guy is such a scam artist. He's great at distraction and he has very creative tactics to convince people he's reading them when he's just cheating. He uses technology. When people write on pads he gives them, it copies the writing and transmits it to Oz. His act would be great, but this takes it too far where he does a TED talk and lies to everyone about his ability to read people by convincing people he can teach them to do it too.",guy|scam|artist|he|great|distraction|creative|tactic|convince|people|he|reading|he|cheating|us|technology|people|write|pad|give|copy|writing|transmits|act|would|great|take|far|ted|talk|lie|everyone|ability|read|people|convincing|people|teach,guy scam artist he great distraction creative tactic convince people he reading he cheating us technology people write pad give copy writing transmits act would great take far ted talk lie everyone ability read people convincing people teach
@comiskey2005,1 month ago,"I call BS. Within 30 seconds of talking to someone, he gets “Alexander the Great” from the guy? Nah.",call|within|second|talking|someone|get|alexander|great|guy|nah,call within second talking someone get alexander great guy nah
@paulmosby9316,1 month ago,What a shame for TED. Absolute waste of time.,shame|ted|absolute|waste|time,shame ted absolute waste time
@KanishkaBisht-o4c,1 month ago,❤,,
@leonguerrero4099,1 month ago,"Hey Daniel. I get the first three but have trouble with the last two. As for number four, you posit that positivity is not feeling or learning from negative emotions when it's not. As for number five, who you know trumps what you know. We've all seen less technical or competent people rise faster because they have the best networks.",hey|daniel|get|first|three|trouble|last|two|number|four|posit|positivity|feeling|learning|negative|emotion|number|five|know|trump|know|weve|seen|less|technical|competent|people|rise|faster|best|network,hey daniel get first three trouble last two number four posit positivity feeling learning negative emotion number five know trump know weve seen less technical competent people rise faster best network
@zenwhitenoise7920,1 month ago,"I've had about 50 (minimum) small conversations with my UPS driver over the years, never even knew his name",ive|minimum|small|conversation|ups|driver|year|never|even|knew|name,ive minimum small conversation ups driver year never even knew name
@123XTSK,1 month ago,this is all an entertainment set up?,entertainment|set,entertainment set
@mikhail9543,1 month ago,That doesn't sound like he wrote Trevor Noah 9:20 dialogue sounds staged,doesnt|sound|like|wrote|trevor|noah|dialogue|sound|staged,doesnt sound like wrote trevor noah dialogue sound staged
@mikhail9543,1 month ago,The only thing this magician is misdirecting is the topic = how to communicate effectively,thing|magician|misdirecting|topic|communicate|effectively,thing magician misdirecting topic communicate effectively
@talhaoz,1 month ago,Might be good for entertainment as a magic show. But I thought TED was about inspiring ideas. In that regard my worst TED experience.,might|good|entertainment|magic|show|thought|ted|inspiring|idea|regard|worst|ted|experience,might good entertainment magic show thought ted inspiring idea regard worst ted experience
@appalachiankevin,1 month ago,This is fucked up!,fucked,fucked
@ConnorMoran-wr5gk,1 month ago,Bro is Harvey specter “he plays the man”,bro|harvey|specter|play|man,bro harvey specter play man
@paisano316,1 month ago,"This guy is full of crap. For example, he uses a digital clipboard that can be written on remotely and look like handwriting. what’s the answer is revealed by the guest, he has an assistant that writes the answers instantaneously on the board and then it shows it to the person and it looks like he read their mind. If you don’t believe me just search YouTube for Oz debunked.",guy|full|crap|example|us|digital|clipboard|written|remotely|look|like|handwriting|whats|answer|revealed|guest|assistant|writes|answer|instantaneously|board|show|person|look|like|read|mind|dont|believe|search|youtube|debunked,guy full crap example us digital clipboard written remotely look like handwriting whats answer revealed guest assistant writes answer instantaneously board show person look like read mind dont believe search youtube debunked
@marcosamir6468,1 month ago,Awesome! How can i read minds now 😂?,awesome|read|mind,awesome read mind
